neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,host_is_superhost,host_identity_verified,host_response_time,host_since,id,host_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
"Valencia, Spain",EXPOSICIO,EL PLA DEL REAL,Private room in rental unit,Private room,1 shared bath,"[""Bathtub"", ""Cleaning products"", ""Ceiling fan"", ""Bidet"", ""Kitchen"", ""Wine glasses"", ""Single level home"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Natural Honey body soap"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Hangers"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Dishwasher"", ""Toaster"", ""Shampoo"", ""Coffee"", ""Paid parking off premises"", ""Lockbox"", ""Laundromat nearby"", ""Self check-in"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Baking sheet"", ""Books and reading material"", ""Essentials"", ""Conditioner"", ""Dining table"", ""Coffee maker"", ""Extra pillows and blankets"", ""Elevator"", ""Blender"", ""Iron"", ""Radiant heating"", ""Exercise equipment: yoga mat"", ""Free street parking"", ""21 inch HDTV with DVD player"", ""Shower gel"", ""Wifi"", ""Clothing storage: wardrobe"", ""Long term stays allowed"", ""Mosquito net"", ""Lock on bedroom door"", ""Microwave"", ""Indesit induction stove"", ""First aid kit"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,13/06/2012,05/01/2025,Sin licencia,f,t,t,within a few hours,08/06/2010,260935.0,140702,39.47505,-0.36282,2.0,1.0,1.0,1.0,41.0,2.0,60.0,2.0,2.0,60,60,2.0,60.0,9,30,60,60,23.3,12.0,0.0,3.0,4.7,4.78,4.64,4.86,4.85,4.87,4.68,3.0,0.0,0.3,0.0
"Valencia, Spain",LA MALVA-ROSA,POBLATS MARITIMS,Entire townhouse,Entire home/apt,2 baths,"[""Backyard"", ""Kitchen"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Stove"", ""Patio or balcony"", ""Crib"", ""Cooking basics"", ""Pets allowed"", ""Essentials"", ""Coffee maker"", ""Iron"", ""Air conditioning"", ""Beach access \u2013 Beachfront"", ""Free street parking"", ""Beach view"", ""TV"", ""Wifi"", ""Private pool"", ""Long term stays allowed"", ""Microwave"", ""Waterfront"", ""Host greets you""]",t,20/06/2025,08/06/2012,16/06/2025,AT-33952-V,f,f,t,within a few hours,09/11/2011,273373.0,1387923,39.48183,-0.32578,3.3,1.0,1.4,2.1,101.4,3.0,365.0,3.0,3.0,365,365,3.0,365.0,7,10,23,288,23.3,21.0,1.0,0.91,4.57,4.58,4.34,4.85,4.83,4.84,4.32,6.0,6.0,0.0,0.0
Desconocido,LA CARRASCA,ALGIROS,Private room in rental unit,Private room,2 baths,"[""Kitchen"", ""TV"", ""Wifi"", ""Dryer"", ""Elevator"", ""Air conditioning"", ""Washer"", ""Heating""]",t,20/06/2025,Sin reseña,Sin reseña,Sin licencia,f,f,f,within a few hours,26/11/2011,276455.0,1444357,39.47317,-0.33932,1.0,1.0,1.0,1.0,38.0,2.0,14.0,2.0,2.0,14,14,2.0,14.0,0,18,48,323,0.0,0.0,0.0,0.0,4.7,4.8,4.7,4.8,4.8,4.7,4.6,1.0,0.0,1.0,0.0
"Valencia, Spain",MORVEDRE,LA SAIDIA,Entire rental unit,Entire home/apt,1 bath,"[""Cleaning products"", ""Garden view"", ""Kitchen"", ""Wine glasses"", ""Single level home"", ""Dishes and silverware"", ""Outdoor furniture"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Electric stove"", ""Bed linens"", ""Heating"", ""Ethernet connection"", ""Hangers"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Toaster"", ""32 inch HDTV with Netflix"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Cleaning available during stay"", ""Essentials"", ""Dining table"", ""Coffee maker"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Iron"", ""Sony Microsystem sound system with aux"", ""Smoke alarm"", ""Beach access \u2013 Beachfront"", ""Free street parking"", ""Shower gel"", ""Wifi"", ""Clothing storage: wardrobe"", ""Long term stays allowed"", ""Central air conditioning"", ""Microwave"", ""First aid kit"", ""Host greets you"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,05/05/2014,05/06/2025,VT-36795-V,f,f,t,within an hour,12/12/2011,288057.0,1497590,39.48367,-0.37377,3.0,1.0,1.0,2.0,106.0,4.0,242.2,3.0,6.0,487,487,4.5,487.0,3,6,15,84,23.3,23.0,2.0,1.15,4.69,4.81,4.58,4.86,4.85,4.76,4.63,3.0,3.0,0.0,0.0
"Valencia, Valencian Community, Spain",EL BOTANIC,EXTRAMURS,Entire loft,Entire home/apt,1 bath,"[""Cleaning products"", ""Ceiling fan"", ""Kitchen"", ""Wine glasses"", ""Exercise equipment: free weights"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Outdoor furniture"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""32 inch HDTV"", ""Hangers"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Dishwasher"", ""Stove"", ""Toaster"", ""Shampoo"", ""Private entrance"", ""Bikes"", ""Body soap"", ""Cooking basics"", ""Freezer"", ""Books and reading material"", ""Fast wifi \u2013 403 Mbps"", ""Essentials"", ""Dining table"", ""Coffee maker"", ""AC - split type ductless system"", ""Private patio or balcony"", ""Blender"", ""Iron"", ""Smoke alarm"", ""Shower gel"", ""Long term stays allowed"", ""Clothing storage: wardrobe"", ""Microwave"", ""First aid kit"", ""Host greets you"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,20/01/2013,15/05/2025,Comunidad Valenciana VT-36615-V.  Temporada ESFCNT00004606300024833100000000000000000000000000009.  Turistico        ESFCTU000046063000248331000000000000000000VT-36615-V9,f,t,t,within an hour,14/12/2011,308525.0,1504505,39.47328,-0.38588,3.0,1.0,1.0,2.0,80.0,3.2,242.2,3.0,14.0,1125,1125,13.6,1125.0,2,6,25,173,23.3,9.0,0.0,1.36,4.81,4.85,4.83,4.92,4.95,4.82,4.82,1.0,1.0,0.0,0.0
Desconocido,RUSSAFA,L'EIXAMPLE,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Stove"", ""Patio or balcony"", ""Shampoo"", ""Laundromat nearby"", ""Cooking basics"", ""Pets allowed"", ""Essentials"", ""Coffee maker"", ""Paid parking on premises"", ""Iron"", ""Air conditioning"", ""Free street parking"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Microwave"", ""Host greets you""]",t,20/06/2025,12/11/2013,19/04/2025,VT-42188-V,f,t,t,within a day,15/01/2012,313137.0,1610077,39.46359,-0.37359,3.0,1.0,2.0,2.0,75.0,3.2,242.2,1.9,4.7,1125,1125,4.0,1125.0,2,3,16,180,78.0,6.0,0.0,0.55,4.73,4.82,4.77,4.86,4.88,4.93,4.75,1.0,1.0,0.0,0.0
"Valencia, Spain",CABANYAL-CANYAMELAR,POBLATS MARITIMS,Entire villa,Entire home/apt,2 baths,"[""Garden view"", ""Kitchen"", ""Outdoor dining area"", ""Dishes and silverware"", ""Outdoor furniture"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""BBQ grill"", ""Heating"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Cooking basics"", ""Park view"", ""Essentials"", ""Coffee maker"", ""AC - split type ductless system"", ""Free washer \u2013 In building"", ""Private patio or balcony"", ""Elevator"", ""Iron"", ""Beach access \u2013 Beachfront"", ""Shared backyard \u2013 Not fully fenced"", ""TV"", ""Wifi"", ""City skyline view"", ""Waterfront"", ""Host greets you""]",t,20/06/2025,01/11/2012,02/06/2025,VT 33844 V,f,f,t,within an hour,25/10/2011,323609.0,1332880,39.466515,-0.325345,5.0,1.0,2.0,3.0,101.4,2.0,242.2,2.0,5.0,5,1125,2.8,832.1,9,14,36,43,45.0,14.0,2.0,0.29,4.41,4.44,4.36,4.73,4.6,4.71,4.23,2.0,2.0,0.0,0.0
"València, Comunidad Valenciana, Spain",EL CARME,CIUTAT VELLA,Entire rental unit,Entire home/apt,2 baths,"[""Cleaning products"", ""Ceiling fan"", ""Kitchen"", ""Single level home"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Shared beach access"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Babysitter recommendations"", ""Hangers"", ""Hair dryer"", ""Heating"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Stove"", ""Paid parking garage off premises"", ""Toaster"", ""Shampoo"", ""Board games"", ""Laundromat nearby"", ""Crib"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Books and reading material"", ""Essentials"", ""Dining table"", ""Coffee maker"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Blender"", ""High chair"", ""Elevator"", ""Iron"", ""Air conditioning"", ""Smoke alarm"", ""Free street parking"", ""Shower gel"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Microwave"", ""Host greets you"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,20/03/2012,16/06/2025,VT-36506-V,t,t,t,within an hour,15/02/2012,346695.0,1757298,39.47917,-0.377,4.0,1.0,2.0,2.0,95.0,2.0,242.2,1.0,2.0,1125,1125,2.0,1125.0,6,13,23,231,23.3,10.1,5.0,4.19,4.85,4.87,4.87,4.93,4.95,4.9,4.86,1.0,1.0,0.0,0.0
"Valencia, Valencian Community, Spain",ARRANCAPINS,EXTRAMURS,Entire serviced apartment,Entire home/apt,1 bath,"[""Outdoor dining area"", ""Outdoor furniture"", ""Oven"", ""Dedicated workspace"", ""TV with standard cable"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Hangers"", ""Hair dryer"", ""Paid parking off premises"", ""Lockbox"", ""Crib"", ""Self check-in"", ""Cooking basics"", ""Pets allowed"", ""Essentials"", ""Coffee maker"", ""Elevator"", ""Blender"", ""Iron"", ""Air conditioning"", ""Smoke alarm"", ""Wifi"", ""First aid kit"", ""Toaster""]",t,20/06/2025,12/04/2012,21/05/2025,VT-37130-V,t,f,t,within an hour,12/09/2011,361016.0,1145189,39.46051,-0.38512,4.0,1.0,3.0,5.0,134.0,2.0,90.0,2.0,4.7,120,120,7.1,120.0,7,11,18,92,23.3,15.0,1.0,1.63,4.7,4.77,4.74,4.54,4.52,4.59,4.64,3.0,3.0,0.0,0.0
Desconocido,CIUTAT DE LES ARTS I DE LES CIENCIES,QUATRE CARRERES,Private room in rental unit,Private room,1 private bath,"[""Bathtub"", ""Kitchen"", ""Luggage dropoff allowed"", ""Outdoor dining area"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Electric stove"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Paid parking garage on premises \u2013 1 space"", ""Cooking basics"", ""Room-darkening shades"", ""Coffee maker: espresso machine"", ""Essentials"", ""Elevator"", ""Private patio or balcony"", ""Iron"", ""Free street parking"", ""Shower gel"", ""Wifi"", ""Clothing storage"", ""Microwave"", ""Host greets you""]",t,20/06/2025,09/09/2013,17/03/2025,Sin licencia,f,f,t,within an hour,02/03/2012,364517.0,1841798,39.4546,-0.36013,2.0,1.0,1.0,2.0,59.0,3.0,3.0,3.0,3.0,3,3,3.0,3.0,28,58,88,88,26.0,2.0,0.0,0.18,4.73,4.69,4.92,4.73,4.88,4.58,4.62,1.0,0.0,1.0,0.0
